iter	Passed	Remaining
0	59	59269
1	59	29760
2	59	19928
3	60	15041
4	60	12089
5	61	10117
6	61	8712
7	61	7651
8	62	6830
9	62	6174
10	62	5637
11	63	5190
12	63	4813
13	63	4490
14	64	4208
15	64	3960
16	64	3742
17	65	3549
18	65	3374
19	65	3216
20	65	3073
21	66	2944
22	66	2827
23	66	2718
24	67	2620
25	67	2532
26	67	2448
27	68	2373
28	68	2299
29	69	2232
30	69	2168
31	69	2108
32	70	2052
33	70	1999
34	70	1948
35	70	1900
36	71	1854
37	71	1811
38	71	1770
39	72	1731
40	72	1694
41	72	1659
42	73	1630
43	73	1601
44	74	1573
45	74	1546
46	74	1518
47	75	1491
48	75	1465
49	75	1440
50	76	1416
51	76	1393
52	76	1371
53	77	1350
54	77	1329
55	77	1309
56	77	1289
57	78	1270
58	78	1252
59	78	1235
60	79	1218
61	79	1201
62	79	1185
63	79	1169
64	80	1154
65	80	1140
66	80	1126
67	81	1112
68	81	1098
69	81	1085
70	81	1072
71	82	1060
72	82	1047
73	82	1035
74	83	1026
75	83	1015
76	83	1004
77	84	993
78	84	983
79	84	973
80	85	964
81	85	954
82	85	943
83	85	933
84	85	924
85	86	915
86	86	906
87	86	898
88	86	890
89	87	881
90	87	874
91	87	866
92	88	858
93	88	851
94	88	844
95	88	836
96	89	830
97	89	823
98	89	816
99	89	809
100	90	803
101	90	797
102	90	791
103	91	785
104	91	779
105	91	773
106	91	767
107	92	761
108	92	755
109	92	750
110	93	745
111	93	740
112	93	734
113	93	729
114	94	724
115	94	719
116	94	713
117	94	709
118	95	704
119	95	699
120	95	694
121	95	689
122	96	684
123	96	680
124	96	676
125	96	671
126	97	666
127	97	663
128	97	659
129	97	655
130	98	651
131	98	647
132	98	643
133	99	639
134	99	635
135	99	632
136	99	628
137	100	624
138	100	621
139	100	617
140	100	614
141	100	609
142	101	606
143	101	603
144	101	599
145	101	596
146	102	593
147	102	590
148	102	587
149	103	584
150	103	581
151	103	577
152	103	574
153	104	572
154	104	569
155	104	566
156	104	563
157	105	560
158	105	557
159	105	554
160	105	551
161	106	548
162	106	545
163	106	543
164	106	541
165	107	538
166	107	535
167	107	533
168	107	530
169	108	528
170	108	525
171	108	523
172	109	521
173	109	519
174	109	516
175	109	514
176	110	512
177	110	510
178	110	507
179	111	505
180	111	503
181	111	502
182	112	500
183	112	498
184	112	495
185	112	493
186	113	492
187	113	490
188	113	488
189	114	486
190	114	484
191	114	482
192	114	480
193	115	478
194	115	476
195	115	474
196	116	473
197	116	471
198	116	469
199	116	467
200	117	465
201	117	463
202	117	461
203	117	459
204	118	458
205	118	456
206	118	454
207	118	452
208	119	451
209	119	449
210	119	447
211	119	445
212	120	444
213	120	442
214	120	441
215	121	439
216	121	437
217	121	435
218	121	434
219	122	432
220	122	431
221	122	429
222	122	428
223	123	427
224	123	425
225	123	424
226	124	422
227	124	420
228	124	419
229	124	417
230	125	416
231	125	414
232	125	413
233	125	412
234	126	410
235	126	409
236	126	407
237	126	406
238	127	404
239	127	403
240	127	402
241	128	401
242	128	399
243	128	398
244	128	396
245	129	395
246	129	394
247	129	393
248	129	391
249	130	390
250	130	389
251	130	388
252	131	387
253	131	386
254	131	384
255	132	383
256	132	382
257	132	381
258	132	380
259	133	379
260	133	378
261	133	376
262	133	375
263	134	374
264	134	372
265	134	371
266	135	370
267	135	369
268	135	368
269	135	367
270	135	365
271	136	364
272	136	363
273	136	362
274	136	361
275	137	359
276	137	359
277	137	357
278	138	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	139	349
286	140	348
287	140	347
288	140	346
289	140	345
290	141	344
291	141	343
292	141	342
293	142	341
294	142	340
295	142	339
296	142	338
297	143	337
298	143	336
299	143	335
300	144	334
301	144	333
302	144	332
303	144	331
304	145	330
305	145	329
306	145	328
307	145	327
308	146	326
309	146	325
310	146	324
311	146	323
312	147	323
313	147	322
314	147	321
315	147	320
316	148	319
317	148	318
318	148	317
319	149	316
320	149	315
321	149	314
322	149	313
323	150	313
324	150	312
325	150	311
326	151	311
327	151	310
328	151	309
329	152	309
330	152	308
331	152	307
332	153	306
333	153	306
334	153	305
335	154	304
336	154	303
337	154	302
338	154	301
339	155	301
340	155	300
341	155	299
342	156	298
343	156	298
344	156	297
345	156	296
346	157	295
347	157	294
348	157	293
349	157	293
350	158	292
351	158	291
352	158	290
353	159	290
354	159	289
355	159	288
356	159	287
357	160	287
358	160	286
359	160	285
360	160	284
361	161	283
362	161	283
363	161	282
364	161	281
365	162	280
366	162	280
367	162	279
368	162	278
369	163	278
370	163	277
371	164	276
372	164	276
373	164	276
374	165	275
375	165	275
376	166	274
377	166	273
378	166	273
379	167	272
380	167	271
381	167	271
382	167	270
383	168	269
384	168	269
385	168	268
386	168	267
387	169	266
388	169	266
389	169	265
390	170	264
391	170	264
392	170	263
393	170	262
394	171	262
395	171	261
396	171	261
397	172	260
398	172	259
399	172	258
400	172	258
401	173	257
402	173	256
403	173	256
404	173	255
405	174	254
406	174	254
407	174	253
408	175	253
409	175	252
410	175	252
411	176	251
412	176	250
413	176	250
414	177	249
415	177	248
416	177	248
417	177	247
418	178	246
419	178	246
420	178	245
421	178	245
422	179	244
423	179	243
424	179	243
425	180	242
426	180	241
427	180	241
428	180	240
429	181	240
430	181	239
431	181	238
432	181	238
433	182	237
434	182	236
435	182	236
436	182	235
437	183	235
438	183	234
439	183	233
440	183	233
441	184	232
442	184	231
443	184	231
444	184	230
445	185	230
446	185	229
447	185	228
448	186	228
449	186	227
450	186	227
451	186	226
452	187	225
453	187	225
454	187	224
455	187	224
456	188	223
457	188	223
458	188	222
459	189	221
460	189	221
461	189	220
462	190	220
463	190	219
464	190	219
465	191	219
466	191	218
467	191	217
468	191	217
469	192	216
470	192	216
471	192	215
472	192	215
473	193	214
474	193	213
475	193	213
476	194	212
477	194	212
478	194	211
479	194	211
480	195	210
481	195	210
482	195	209
483	196	209
484	196	208
485	196	208
486	196	207
487	197	206
488	197	206
489	197	205
490	198	205
491	198	204
492	198	204
493	199	204
494	199	203
495	199	202
496	199	202
497	200	201
498	200	201
499	200	200
500	200	200
501	201	199
502	201	199
503	201	198
504	202	198
505	202	197
506	202	196
507	202	196
508	203	195
509	203	195
510	203	194
511	203	194
512	204	193
513	204	193
514	204	192
515	204	192
516	205	191
517	205	191
518	205	190
519	206	190
520	206	189
521	206	189
522	207	188
523	207	188
524	207	188
525	208	187
526	208	187
527	208	186
528	208	186
529	209	185
530	209	184
531	209	184
532	209	183
533	210	183
534	210	182
535	210	182
536	211	181
537	211	181
538	211	180
539	211	180
540	212	179
541	212	179
542	212	178
543	212	178
544	213	178
545	213	177
546	213	176
547	213	176
548	214	175
549	214	175
550	214	174
551	214	174
552	215	173
553	215	173
554	215	172
555	215	172
556	216	171
557	216	171
558	216	170
559	216	170
560	217	170
561	217	169
562	217	169
563	218	168
564	218	168
565	218	167
566	218	167
567	219	166
568	219	166
569	219	165
570	219	165
571	220	164
572	220	164
573	220	163
574	221	163
575	221	163
576	222	162
577	222	162
578	222	161
579	223	161
580	223	161
581	223	160
582	223	160
583	224	159
584	224	159
585	224	158
586	224	158
587	225	157
588	225	157
589	225	156
590	226	156
591	226	156
592	226	155
593	226	155
594	227	154
595	227	154
596	227	153
597	227	153
598	228	152
599	228	152
600	228	151
601	228	151
602	229	150
603	229	150
604	229	149
605	229	149
606	230	149
607	230	148
608	230	148
609	231	147
610	231	147
611	231	146
612	231	146
613	232	145
614	232	145
615	232	145
616	232	144
617	233	144
618	233	143
619	233	143
620	233	142
621	234	142
622	234	141
623	234	141
624	235	141
625	235	140
626	235	140
627	235	139
628	236	139
629	236	138
630	236	138
631	237	138
632	237	137
633	237	137
634	238	136
635	238	136
636	238	136
637	238	135
638	239	135
639	239	134
640	239	134
641	239	133
642	240	133
643	240	132
644	240	132
645	241	132
646	241	131
647	241	131
648	241	130
649	242	130
650	242	129
651	242	129
652	242	129
653	243	128
654	243	128
655	243	127
656	244	127
657	244	127
658	244	126
659	245	126
660	245	125
661	245	125
662	245	124
663	246	124
664	246	124
665	246	123
666	246	123
667	247	122
668	247	122
669	247	121
670	247	121
671	248	121
672	248	120
673	248	120
674	248	119
675	249	119
676	249	118
677	249	118
678	249	118
679	250	117
680	250	117
681	250	116
682	250	116
683	251	116
684	251	115
685	251	115
686	251	114
687	252	114
688	252	114
689	253	113
690	253	113
691	253	113
692	254	112
693	254	112
694	254	111
695	255	111
696	255	110
697	255	110
698	255	110
699	255	109
700	256	109
701	256	108
702	256	108
703	257	108
704	257	107
705	257	107
706	257	106
707	258	106
708	258	106
709	258	105
710	258	105
711	259	104
712	259	104
713	259	104
714	260	103
715	260	103
716	260	102
717	260	102
718	261	102
719	261	101
720	261	101
721	261	100
722	262	100
723	262	100
724	262	99
725	262	99
726	263	98
727	263	98
728	263	98
729	264	97
730	264	97
731	264	96
732	264	96
733	265	96
734	265	95
735	265	95
736	266	94
737	266	94
738	266	94
739	266	93
740	267	93
741	267	92
742	267	92
743	268	92
744	268	91
745	268	91
746	269	91
747	269	90
748	269	90
749	269	89
750	270	89
751	270	89
752	270	88
753	270	88
754	271	88
755	271	87
756	271	87
757	272	86
758	272	86
759	272	86
760	272	85
761	273	85
762	273	84
763	273	84
764	273	84
765	274	83
766	274	83
767	274	82
768	274	82
769	275	82
770	275	81
771	275	81
772	275	81
773	276	80
774	276	80
775	276	79
776	277	79
777	277	79
778	277	78
779	277	78
780	278	77
781	278	77
782	278	77
783	278	76
784	279	76
785	279	76
786	279	75
787	279	75
788	280	74
789	280	74
790	280	74
791	280	73
792	281	73
793	281	73
794	281	72
795	281	72
796	282	71
797	282	71
798	282	71
799	283	70
800	283	70
801	283	70
802	284	69
803	284	69
804	284	68
805	285	68
806	285	68
807	285	67
808	285	67
809	286	67
810	286	66
811	286	66
812	286	65
813	287	65
814	287	65
815	287	64
816	287	64
817	288	64
818	288	63
819	288	63
820	288	63
821	289	62
822	289	62
823	289	61
824	290	61
825	290	61
826	290	60
827	290	60
828	291	60
829	291	59
830	291	59
831	291	58
832	292	58
833	292	58
834	292	57
835	292	57
836	293	57
837	293	56
838	293	56
839	293	55
840	294	55
841	294	55
842	294	54
843	294	54
844	295	54
845	295	53
846	295	53
847	296	53
848	296	52
849	296	52
850	296	51
851	297	51
852	297	51
853	297	50
854	297	50
855	298	50
856	298	49
857	298	49
858	299	49
859	299	48
860	299	48
861	299	48
862	300	47
863	300	47
864	300	46
865	301	46
866	301	46
867	301	45
868	302	45
869	302	45
870	302	44
871	302	44
872	303	44
873	303	43
874	303	43
875	304	43
876	304	42
877	304	42
878	304	41
879	305	41
880	305	41
881	306	40
882	306	40
883	306	40
884	306	39
885	307	39
886	307	39
887	307	38
888	307	38
889	308	38
890	308	37
891	308	37
892	309	37
893	309	36
894	309	36
895	309	35
896	310	35
897	310	35
898	310	34
899	310	34
900	311	34
901	311	33
902	311	33
903	311	33
904	312	32
905	312	32
906	312	32
907	312	31
908	313	31
909	313	31
910	313	30
911	315	30
912	315	30
913	315	29
914	316	29
915	316	29
916	317	28
917	317	28
918	317	27
919	317	27
920	318	27
921	318	26
922	318	26
923	318	26
924	319	25
925	319	25
926	319	25
927	319	24
928	320	24
929	320	24
930	320	23
931	320	23
932	321	23
933	321	22
934	321	22
935	321	22
936	322	21
937	322	21
938	322	20
939	322	20
940	322	20
941	323	19
942	323	19
943	323	19
944	323	18
945	324	18
946	324	18
947	324	17
948	325	17
949	325	17
950	325	16
951	325	16
952	326	16
953	326	15
954	326	15
955	326	15
956	327	14
957	327	14
958	327	14
959	327	13
960	328	13
961	328	12
962	328	12
963	329	12
964	329	11
965	330	11
966	330	11
967	330	10
968	330	10
969	331	10
970	331	9
971	331	9
972	332	9
973	332	8
974	332	8
975	333	8
976	333	7
977	333	7
978	333	7
979	334	6
980	334	6
981	334	6
982	335	5
983	335	5
984	335	5
985	335	4
986	336	4
987	336	4
988	336	3
989	336	3
990	337	3
991	337	2
992	337	2
993	337	2
994	337	1
995	338	1
996	338	1
997	338	0
998	339	0
999	339	0
